From: @jairbolsonaro,Data publicação,Link
"DEUS SALVE NOSSAS CRIANÇAS. http://bit.ly/M8ulSp
",14/06/2012,https://twitter.com/jairbolsonaro/status/213360731314335744?s=20
DEUS SALVE AS CRIANÇAS II (2014):,23/04/2014,https://twitter.com/jairbolsonaro/status/459126246270861313?s=20
"Agora na Marcha Para Jesus: FAMÍLIA PROJETO DE DEUS! (C/ 
@PastorMalafaia
 / 
@DepSostenes
 / Magno Malta).",30/05/2015,https://twitter.com/jairbolsonaro/status/604720240128368641?s=20&t=h_pRzlUHwy2_3ZNo_mdswA
BRASIL ACIMA DE TUDO!!! DEUS ACIMA DE TODOS!!! (Via Instagram).,10/07/2015,https://twitter.com/jairbolsonaro/status/619474669599649792?s=20&t=yFc0lwaO_nQGNwP3uGKLug
"Ontem, às 22h00 de sábado, na ADUD - Assembléia de Deus dos Últimos Dias - em São João de Meriti / RJ.",04/10/2015,https://twitter.com/jairbolsonaro/status/650679669176553472?s=20&t=qvjRM7CI4lL3cuoFqVLCVw
"Sou católico, meus filhos + velhos Batistas... agradeço a Deus pela existência d cada pessoa q me cerca. #união",12/10/2015,https://twitter.com/jairbolsonaro/status/653498380392484864?s=20&t=yBPCCkBYHupLE3pTaXfTZQ
"Mantenhamos a esperança na vitória! Brasil Acima de Tudo, Deus Acima de Todos! #impeachment #ForaForoDeSãoPaulo",17/04/2016,https://twitter.com/jairbolsonaro/status/721768996136202240?s=20&t=cGRTFDrsm2N4BzxlTHm0Vg
DILMA NA ONU: peço a Deus para estar errado.,22/04/2016,https://twitter.com/jairbolsonaro/status/723612749700444161?s=20&t=kRyotFOLBoOpamg7lbMWnA
Parabéns aos 235 aspirantes da Escola Naval q hj receberam seus espadins. Brasil acima de tudo. Deus acima de todos!,04/06/2016,https://twitter.com/jairbolsonaro/status/739246000456536064?s=20&t=heORPl5o8j-uRKYjHLbrQQ
"Brasileiros em Israel revelam preocupação no Brasil com: Propriedade privada, Família e Liberdade de religião. http://tinyurl.com/jjdld3b",16/06/2016,https://twitter.com/jairbolsonaro/status/732274879190433795?s=20&t=V8J-Ar3KT-Je3c9PG5gVUA
"Graças a Deus tudo foi filmado, ou certamente já ñ teria meu mandato há tempos! A Justiça no fim será feita. http://tinyurl.com/gscbry4",21/06/2016,https://twitter.com/jairbolsonaro/status/745369677019385856?s=20&t=MpsP-R-Tw4j0lpGgUuxs_w
Cerimônia de entrega de espada aos Generais de Brigada. BRASIL ACIMA DE TUDO! DEUS ACIMA DE TODOS!,03/08/2016,https://twitter.com/jairbolsonaro/status/760984883321835520?s=20
"COMANDO DE OPERAÇÕES TERRESTRES. Passagem de Comando. BRASÍLIA 23/AGOSTO. BRASIL ACIMA DE TUDO, DEUS ACIMA DE TODOS!",24/08/2016,https://twitter.com/jairbolsonaro/status/768492127315722240?s=20&t=8yM-yfRQFw3PYoXKLg46hA
BRASIL ACIMA DE TUDO! DEUS ACIMA DE TODOS! Cassados pelo Congresso em 1964 e cassados pelo Congresso em 2016.,31/08/2016,https://twitter.com/jairbolsonaro/status/771038968490098689
"Novos soldados da PMERJ. Parabéns aos 510 formandos. DEUS OS ACOMPANHE EM TODAS AS SUAS JORNADAS! Com 
@carlosbolsonaro",23/09/2016,https://twitter.com/jairbolsonaro/status/779377333883002880?s=20&t=iqWbMtgDKfqhyeCADYZsgA
"Formatura - novos Soldados da PMERJ. Grato pelo carinho e consideração. Brasil acima de tudo, Deus acima de todos!",21/10/2016,https://twitter.com/jairbolsonaro/status/789520843969794048?s=20
No Batalhão de Choque PMERJ - Velório dos Policiais vitimados por abate de aeronave. Deus conforte seus familiares.,20/11/2016,https://twitter.com/jairbolsonaro/status/800398111302504448?s=20&t=Zd4oghsvGCpIEZRURAGniA
Agora dizem que quero proibir vídeo game!!! Meu Deus! GAME OVER PARA MAIS UMA CALÚNIA.,08/03/2017,https://twitter.com/jairbolsonaro/status/839481856609353728?s=20&t=7CnbHrxRXmJ8_HDXldDoqg
"Mudem o foco, pelo amor de Deus! Vamos falar de outras coisas sérias, mas de outros assuntos!",20/04/2017,https://twitter.com/jairbolsonaro/status/855059188032122881?s=20
"Vamos contextualizar a fala, pelo amor de Deus! ",20/04/2017,https://twitter.com/jairbolsonaro/status/855061913616740352
"Depois q apagaram e mostrei o print, agora republicaram! Notem o horário das postagens! Meu Deus, pra q isso?",20/04/2017,https://twitter.com/jairbolsonaro/status/855063721550499840?s=20
"Reflitam e tirem suas conclusões! Deus acima de tudo, Brasil acima de todos! 🇧🇷",06/05/2017,https://twitter.com/jairbolsonaro/status/860977461693222912?s=20
Mais uma! Meus Deus! Kkkk...,21/05/2017,https://twitter.com/jairbolsonaro/status/866457599155351553?s=20
MEU DEUS! INACREDITÁVEL LER ISTO!,24/05/2017,https://twitter.com/jairbolsonaro/status/867368798692798464?s=20
Obrigado Natal/RN. Um abraço Nordeste. Brasil acima de tudo! Deus acima de todos!,10/06/2017,https://twitter.com/jairbolsonaro/status/873661501751648256?s=20
Estado Laico e Religião.,28/06/2017,https://twitter.com/jairbolsonaro/status/880196845628080133?s=20
90 Policiais Militares foram executados no Rio de Janeiro em 2017. Somente a fé os mantêm defendendo a sociedade.,23/07/2017,https://twitter.com/jairbolsonaro/status/889063428068970496?s=20
"IV Seminário ""A voz do Campo."" Gramado/RS - Sempre ao lado de quem produz. Brasil acima de tudo! Deus acima de todos!",26/07/2017,https://twitter.com/jairbolsonaro/status/890335406725754888?s=20
DIA DO SURDO: Meu Deus! Agradeço o empenho e aproximação de minha esposa aos grupos que merecem nosso carinho e empenho! Vamos aprendendo! https://twitter.com/mfbrana/status/912691648227930112,26/07/2017, https://twitter.com/jairbolsonaro/status/912699870141706240?s=20
"O cartão postal do Brasil voltará a ser maravilhoso. Para tanto precisamos de um presidente honesto, patriota e que tenha Deus no coração.",14/08/2017,https://twitter.com/jairbolsonaro/status/897089077664788480?s=20
"07/setembro/2017.
- Brasil acima de tudo!
- Deus acima de todos!
- Cap R/1 - Jair Bolsonaro.",07/09/2017,https://twitter.com/jairbolsonaro/status/905852237129318401?s=20
"A fakenews ataca novamente! ""Comentários misóginos"", ""apoio à ditadura militar""? MEU DEUS! ",28/09/2017,https://twitter.com/jairbolsonaro/status/913391741889335296?s=20
Ressalto que não estou financiando nenhum jornal. Toda propaganda sobre mim está sendo espontânea. Obrigado! Boa noite e fiquem com Deus!,06/10/2017,https://twitter.com/jairbolsonaro/status/916158106798829574?s=20
"Eles podem denegrir, apedrejar e mentir à vontade, se você responde é praticamente um crime! Sra. Leilane, a dignidade não está na mansidão da resposta, mas nos atos e na consciência de cada um! Talvez não entenda, mas tenho fé! Um abraço!",14/11/2017,https://twitter.com/jairbolsonaro/status/930440099711635457?s=20
Visitando a Arena Amadeu Teixeira (Manaus-AM) para acompanhar formatura de alunos do Ensino Médio da Escola Estadual Waldock Frick de Lira CMPM. Parabéns formandos! É sempre um prazer estar junto do futuro do Brasil. Que Deus abençoe e ilumine as próximas gerações!,14/12/2017,https://twitter.com/jairbolsonaro/status/941460181027782656?s=20
A população latino-americana está dando o seu recado após sucessivos fracassos e crimes da esquerda em todos os países onde imperou! O Foro de São Paulo está com os dias contados. Boa noite a todos e fiquem com Deus!,17/12/2017,https://twitter.com/jairbolsonaro/status/942547175858458626?s=20
"Que o espírito natalino esteja presente em nossos corações e lares! ""E, respondendo o anjo, disse-lhe: Descerá sobre ti o Espírito Santo, e a virtude so Altíssimo te cobrirá com a sua sombra; por isso também o Santo, que de ti há de nascer, será chamado Filho de Deus."" Lucas 1:35",24/12/2017,https://twitter.com/jairbolsonaro/status/944866547885109249?s=20
"Cidadãos indefesos, policiais sem segurança jurídica para trabalharem, bandidos rindo da cara da população com a política de direitos humanos e fragilidade da legislação. Temos que dar uma guinada de direção neste país. Coragem, força e fé, Brasil. Ainda há tempo de virarmos!",10/01/2018,https://twitter.com/jairbolsonaro/status/950915319824035840?s=20
Nossas homenagens ao Soldado Leonardo Assunção da Polícia Militar/SP. Deus conforte seus familiares e amigos.,12/01/2018,https://twitter.com/jairbolsonaro/status/951893413456211971?s=20
"Os amigos do PT, PSOL e PCdoB, destilando “amor”, para não dizer o contrário, em cima dos que seguem qualquer religião! Prisão para todos eles, quer o cocalheiro e parceiro de negócios e ideiais da esquerda! Para eles, só o estado TEM que ser adorado, caso contrário: “fuego”!",16/01/2018,https://twitter.com/jairbolsonaro/status/953298710921916418?s=20
" Tão ou mais grave que a corrupção institucionalizada pelo PT é a questão ideológica. 

- Vitimizam-se e culpam terceiros pelos seus crimes.

- Brasil acima de tudo! Deus acima de todos!",28/03/2018,https://twitter.com/jairbolsonaro/status/978943291973623809?s=20
"Com pesar comunico o passamento de meu Chefe de Gabinete, Capitão QAO Jorge Francisco... leal amigo de 20 anos.
- Pedimos a Deus conforto de sua família e amigos.",02/04/2018,https://twitter.com/jairbolsonaro/status/980657155425685504?s=20
